fold,train_n,test_n,train_rate,test_rate,train_end,test_end
1,561,452,0.221,0.058,2023-01-01,2023-07-01
2,1013,422,0.148,0.261,2023-07-01,2024-01-01
3,1435,271,0.181,0.022,2024-01-01,2024-07-01
4,1941,694,0.16,0.027,2025-01-01,2025-07-01
