step,rows_remaining,reason
30_wastewater_weekly,11925,from clean_wastewater.py
30b_hospital_weekly,15632,from clean_hospital_admissions.py
31_joined_weekly,11925,inner join on state + WEEK (both weekly now)
32_model_ready,4832,require label + >=1 lag
