model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7991666666666667,0.06349206349206349,0.7619047619047619,0.11721611721611722,0.8548002746476028
Random Forest,0.9566666666666667,0.23728813559322035,0.6666666666666666,0.35,0.9374974756654146
XGBoost,0.9808333333333333,0.4166666666666667,0.23809523809523808,0.30303030303030304,0.9483420170443071
