model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tp,fp,fn,tn
Majority-class baseline,0.9612163948876157,0.5,0.0,0.0,1.0,0.0,,,0,0,88,2181
XGBoost,0.9581313353900397,0.60744654245342,0.425531914893617,0.22727272727272727,0.9876203576341128,0.2962962962962963,0.8712173314993122,0.2992422265495599,20,27,68,2154
Logistic Regression,0.7677390921110622,0.7265120253428369,0.1073345259391771,0.6818181818181818,0.771205868867492,0.18547140649149924,0.8031292984869326,0.19214450061019733,60,499,28,1682
Random Forest,0.9616571176729837,0.5438497769997082,0.5333333333333333,0.09090909090909091,0.9967904630903255,0.1553398058252427,0.841187841273811,0.2500628481808942,8,7,80,2174
