state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,admits_per100k,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era,month,epiweek_of_year,regime_mandatory_post,regime_mandatory_pre,season_fall,season_spring,season_summer,season_winter,region_midwest,region_northeast,region_south,region_territory,region_west
ak,2022-06-18,6.458928322078762,6.454787602568075,1.7226575848733268,4,2,0.0,430000,68.0,0.9167,15.813953488372094,6.5883420702553455,,,-0.1294137481765833,6.523635196167054,train,6,24,False,True,False,False,True,False,False,False,False,False,True
ak,2022-06-25,6.473784791424572,6.48281909043455,1.738137359866646,4,2,0.0,430000,99.0,0.9167,23.02325581395349,6.458928322078762,6.5883420702553455,,0.0148564693458101,6.507018394586226,train,6,25,False,True,False,False,True,False,False,False,False,False,True
ak,2022-07-02,6.604213945879582,6.587313767332503,1.8702260815922371,4,2,0.0,430000,101.0,0.9167,23.48837209302326,6.473784791424572,6.458928322078762,6.5883420702553455,0.13042915445501,6.512309019794306,train,7,26,False,True,False,False,True,False,False,False,False,False,True
ak,2022-07-09,6.608041008416798,6.64113767325799,1.8686689990797325,3,2,0.0,230000,94.0,0.9167,40.869565217391305,6.604213945879582,6.473784791424572,6.458928322078762,0.0038270625372156,6.562013248573652,train,7,27,False,True,False,False,True,False,False,False,False,False,True
ak,2022-07-16,6.550856275716948,6.563123558849558,1.819769972642202,3,2,0.0,415000,102.0,0.9167,24.578313253012045,6.608041008416798,6.604213945879582,6.473784791424572,-0.0571847326998495,6.5877037433377765,train,7,28,False,True,False,False,True,False,False,False,False,False,True
ak,2022-07-23,6.596158464829588,6.531567003459247,1.8607440006365796,4,2,0.0,430000,109.0,0.9167,25.348837209302328,6.550856275716948,6.608041008416798,6.604213945879582,0.0453021891126397,6.585018582987779,train,7,29,False,True,False,False,True,False,False,False,False,False,True
ak,2022-07-30,6.595420587215549,6.6038785764506605,1.861107423975928,4,2,0.0,430000,131.0,0.9167,30.46511627906977,6.596158464829588,6.550856275716948,6.608041008416798,-0.0007378776140392,6.5808117759206946,train,7,30,False,True,False,False,True,False,False,False,False,False,True
ak,2022-08-06,6.453515323569985,6.485390357953432,1.7218697955057038,3,2,0.0,415000,108.0,0.9167,26.024096385542165,6.595420587215549,6.596158464829588,6.550856275716948,-0.1419052636455635,6.548364791871708,train,8,31,False,True,False,False,True,False,False,False,False,False,True
ak,2022-08-13,6.33044038961852,6.347302516434444,1.5950612437684848,3,2,0.0,415000,109.0,0.9167,26.26506024096385,6.453515323569985,6.595420587215549,6.596158464829588,-0.1230749339514654,6.459792100134685,train,8,32,False,True,False,False,True,False,False,False,False,False,True
ak,2022-08-20,6.354284180644365,6.33172672378946,1.616843230747014,4,2,0.0,430000,88.0,0.9167,20.46511627906977,6.33044038961852,6.453515323569985,6.595420587215549,0.0238437910258451,6.379413297944289,train,8,33,False,True,False,False,True,False,False,False,False,False,True
